KID,Teff,logg,Mass,Prot,Prot_err,LPH,w,DC
5175623,5134,4.65,0.8689,nan,nan,nan,nan,0
5175650,6153,4.51,1.1552,8.756,0.925,0.221,0.1846,0
5175655,5576,4.47,0.9852,nan,nan,nan,nan,0
5175661,5370,4.60,0.9303,nan,nan,nan,nan,0
5175666,5328,4.71,0.9193,nan,nan,nan,nan,0
5175695,5792,4.61,1.0454,nan,nan,nan,nan,0
5175697,6042,4.44,1.1200,nan,nan,nan,nan,0
5175712,5796,4.51,1.0465,nan,nan,nan,nan,0
5175760,5706,4.75,1.0210,48.945,3.231,0.318,0.0968,0
5175814,4877,4.69,0.8022,27.464,0.822,0.368,0.2286,0
5175843,5591,4.77,0.9893,nan,nan,nan,nan,0
5175893,5760,4.56,1.0363,nan,nan,nan,nan,0
5175926,5220,4.76,0.8912,39.692,5.869,0.308,0.1341,0
5175927,5698,4.53,1.0188,nan,nan,nan,nan,0
5175955,5376,4.60,0.9319,nan,nan,nan,nan,0
5175989,5368,4.78,0.9298,nan,nan,nan,nan,0
5176032,5641,5.00,1.0030,nan,nan,nan,nan,0
5176059,5823,4.67,1.0543,33.031,2.592,0.079,0.0324,0
5176131,5952,4.39,1.0924,41.126,0.161,0.502,0.2356,0
5176159,6019,4.56,1.1128,nan,nan,nan,nan,0
5176161,4924,4.39,0.8145,nan,nan,nan,nan,0
5176200,5451,4.42,0.9517,nan,nan,nan,nan,0
5176205,5608,4.69,0.9939,nan,nan,nan,nan,0
5176214,5403,4.53,0.9390,nan,nan,nan,nan,0
5176289,5564,4.84,0.9820,nan,nan,nan,nan,0
5176317,5372,4.57,0.9308,nan,nan,nan,nan,0
5176323,5836,4.65,1.0581,nan,nan,nan,nan,0
5176344,6378,4.39,1.2316,13.699,0.143,0.255,0.1324,0
5176356,5063,4.46,0.8506,29.292,3.319,0.158,0.0785,0
5176375,5824,4.49,1.0546,0.297,0.004,0.035,0.0184,0
5176386,5073,4.59,0.8532,14.561,0.566,0.051,0.0118,0
5176581,5522,4.50,0.9706,nan,nan,nan,nan,0
5176599,5198,4.43,0.8855,nan,nan,nan,nan,0
5176616,4820,4.48,0.7872,nan,nan,nan,nan,0
5176633,6160,4.65,1.1575,10.554,2.037,0.291,0.2324,0
5176685,5693,4.54,1.0174,nan,nan,nan,nan,0
5176715,5324,4.72,0.9182,nan,nan,nan,nan,0
5176729,5973,4.43,1.0988,nan,nan,nan,nan,0
5176736,5699,4.46,1.0191,nan,nan,nan,nan,0
5176748,5831,4.38,1.0566,nan,nan,nan,nan,0
5176802,5732,4.49,1.0283,nan,nan,nan,nan,0
5176899,4703,4.51,0.7561,25.302,0.334,0.284,0.1400,0
5176981,5670,4.52,1.0110,38.119,3.266,0.199,0.0342,0
5176994,5227,4.68,0.8930,39.386,9.115,0.267,0.1060,0
5177047,5738,4.61,1.0300,nan,nan,nan,nan,0
5177111,6021,4.54,1.1134,nan,nan,nan,nan,0
5177145,6228,4.43,1.1799,nan,nan,nan,nan,0
5177155,5743,4.70,1.0315,nan,nan,nan,nan,0
5177163,5388,4.97,0.9350,36.832,9.689,0.140,0.0576,0
5177196,5232,4.80,0.8943,nan,nan,nan,nan,0
5177208,5380,4.92,0.9329,nan,nan,nan,nan,0
5177218,5792,4.52,1.0454,nan,nan,nan,nan,0
5177283,5607,4.65,0.9937,nan,nan,nan,nan,0
5177591,5052,4.56,0.8477,36.689,4.114,0.343,0.1924,0
5177648,5964,4.45,1.0960,nan,nan,nan,nan,0
5177657,5808,4.46,1.0500,20.199,0.107,0.161,0.1174,0
5177834,5799,4.44,1.0474,nan,nan,nan,nan,0
5177839,5863,4.42,1.0660,nan,nan,nan,nan,0
5178483,6137,4.25,1.1500,3.330,0.076,0.354,0.2384,0
5178512,6322,4.23,1.2119,55.549,5.109,0.218,0.0002,0
5178680,5354,4.61,0.9261,nan,nan,nan,nan,0
5178720,5919,3.99,1.0825,25.838,2.678,0.266,0.1239,0
5178770,5263,4.40,0.9023,nan,nan,nan,nan,0
5178845,5210,4.64,0.8886,nan,nan,nan,nan,0
5178912,5685,4.48,1.0152,43.902,10.080,0.433,0.1920,0
5178913,5713,4.43,1.0230,nan,nan,nan,nan,0
5178918,5789,4.03,1.0445,13.374,0.983,0.092,0.0665,0
5178969,5701,4.56,1.0196,nan,nan,nan,nan,0
5178978,5802,4.61,1.0483,nan,nan,nan,nan,0
5179066,6079,4.44,1.1315,nan,nan,nan,nan,0
5179118,5718,4.44,1.0244,14.235,1.326,0.127,0.0632,0
5179147,6120,4.61,1.1446,nan,nan,nan,nan,0
5179185,6179,4.31,1.1637,2.994,1.050,0.343,0.2329,0
5179199,5799,4.49,1.0474,17.934,0.347,0.284,0.2305,0
5179232,5042,4.30,0.8451,36.056,1.800,0.355,0.2073,0
5179352,5828,4.42,1.0558,nan,nan,nan,nan,0
5179396,5961,4.25,1.0951,50.052,3.446,0.143,0.0031,0
5179427,5669,4.51,1.0107,nan,nan,nan,nan,0
5179500,5225,3.79,0.8925,nan,nan,nan,nan,0
5179505,5968,4.72,1.0972,nan,nan,nan,nan,0
5179606,6364,4.18,1.2267,19.908,0.821,0.022,0.0219,0
5179704,5629,4.38,0.9997,27.494,0.286,0.102,0.0946,0
5179711,5267,4.29,0.9034,50.913,2.855,0.239,0.0345,0
5179722,5499,4.51,0.9645,nan,nan,nan,nan,0
5179744,5462,4.51,0.9546,nan,nan,nan,nan,0
5179808,5474,4.68,0.9578,nan,nan,nan,nan,0
5179815,5296,4.29,0.9109,nan,nan,nan,nan,0
5179881,4718,4.63,0.7601,42.206,10.655,0.268,0.1243,0
5179887,5622,4.43,0.9978,nan,nan,nan,nan,0
5179965,5231,4.36,0.8940,40.489,8.303,0.108,0.0492,0
5180031,5182,4.52,0.8813,nan,nan,nan,nan,0
5180050,5739,4.41,1.0303,nan,nan,nan,nan,0
5180219,5349,4.51,0.9248,nan,nan,nan,nan,0
5180232,5690,4.94,1.0166,25.101,0.100,0.246,0.1542,0
5180364,5461,4.44,0.9543,nan,nan,nan,nan,0
5180370,5985,4.22,1.1024,nan,nan,nan,nan,0
5180533,6187,4.28,1.1663,2.830,0.700,0.174,0.0983,0
5180542,5660,4.48,1.0082,16.888,2.396,0.205,0.1211,0
5180686,5599,4.41,0.9915,nan,nan,nan,nan,0
5180783,5715,4.20,1.0236,nan,nan,nan,nan,0
5180815,5942,4.47,1.0894,nan,nan,nan,nan,0
5180868,5678,4.47,1.0132,nan,nan,nan,nan,0
5180877,4867,4.20,0.7996,32.234,4.120,0.168,0.0881,0
5180982,6102,4.33,1.1388,1.359,0.325,0.141,0.0552,0
5180996,5844,4.44,1.0604,11.123,0.048,0.331,0.2206,0
5181029,6049,4.38,1.1221,21.067,0.198,0.116,0.0515,0
5181100,6014,4.47,1.1113,nan,nan,nan,nan,0
5181108,5830,4.34,1.0564,nan,nan,nan,nan,0
5181177,5890,4.33,1.0739,12.775,0.134,0.191,0.1236,0
5181199,5109,4.59,0.8625,35.420,1.420,0.133,0.1020,0
5181266,5940,4.41,1.0888,nan,nan,nan,nan,0
5181282,5415,4.39,0.9421,nan,nan,nan,nan,0
5181288,5387,4.72,0.9348,nan,nan,nan,nan,0
5181346,5863,4.40,1.0660,nan,nan,nan,nan,0
5181349,6136,4.52,1.1497,nan,nan,nan,nan,0
5181358,5349,4.75,0.9248,nan,nan,nan,nan,0
5181420,6157,4.53,1.1565,nan,nan,nan,nan,0
5181492,5436,4.84,0.9477,31.478,2.935,0.117,0.0919,0
5181578,5418,4.70,0.9429,27.266,0.449,0.152,0.1225,0
5181591,5749,4.57,1.0331,56.154,3.464,0.472,0.1943,0
5181600,5264,4.56,0.9026,0.293,0.004,0.258,0.1148,0
5181601,4423,4.50,0.6785,nan,nan,nan,nan,0
5181631,5364,4.69,0.9287,nan,nan,nan,nan,0
5181633,5384,4.92,0.9340,nan,nan,nan,nan,0
5181664,5501,5.07,0.9650,nan,nan,nan,nan,0
5181698,5355,5.08,0.9264,nan,nan,nan,nan,0
5181740,6462,4.21,1.2621,5.989,0.081,0.243,0.1906,0
5181838,5334,4.59,0.9209,nan,nan,nan,nan,0
5181857,5727,4.60,1.0269,13.676,0.578,0.213,0.1205,0
5181858,5683,4.43,1.0146,nan,nan,nan,nan,0
5182034,6263,4.22,1.1917,7.959,1.405,0.110,0.1274,0
5182046,5275,4.57,0.9055,49.664,7.164,0.112,0.0174,0
5182073,4730,4.56,0.7634,nan,nan,nan,nan,0
5182156,5965,4.40,1.0963,nan,nan,nan,nan,0
5182188,4979,4.43,0.8288,nan,nan,nan,nan,0
5182272,5952,4.10,1.0924,nan,nan,nan,nan,0
5182428,5618,4.37,0.9967,46.844,13.487,0.341,0.1213,0
5182430,5733,4.57,1.0286,nan,nan,nan,nan,0
5182446,5016,4.48,0.8384,nan,nan,nan,nan,0
5182489,5773,4.53,1.0400,nan,nan,nan,nan,0
5182500,6101,4.31,1.1385,22.467,2.395,0.072,0.0369,0
5182537,5832,4.40,1.0569,nan,nan,nan,nan,0
5182590,5692,4.54,1.0171,nan,nan,nan,nan,0
5182707,5864,4.22,1.0663,22.575,0.649,0.234,0.1343,0
5182711,5843,4.68,1.0601,nan,nan,nan,nan,0
5182739,5472,4.54,0.9572,nan,nan,nan,nan,0
5182752,5258,4.40,0.9010,nan,nan,nan,nan,0
5182784,5381,4.59,0.9332,nan,nan,nan,nan,0
5182856,5766,4.48,1.0380,9.982,1.453,0.058,0.0436,0
5182876,6087,4.70,1.1341,nan,nan,nan,nan,0
5182906,5307,4.69,0.9138,nan,nan,nan,nan,0
5182915,5629,4.42,0.9997,nan,nan,nan,nan,0
5182946,5384,4.50,0.9340,nan,nan,nan,nan,0
5182963,6049,4.33,1.1221,4.117,1.144,0.266,0.1637,0
5182967,5127,4.51,0.8671,nan,nan,nan,nan,0
5182974,5636,5.13,1.0016,nan,nan,nan,nan,0
5182985,5167,4.77,0.8775,0.807,0.109,0.027,0.0027,0
5183031,5413,4.61,0.9416,nan,nan,nan,nan,0
5183149,5191,4.94,0.8837,60.780,10.984,0.404,0.1415,0
5183189,6031,4.30,1.1165,17.542,2.839,0.308,0.1968,0
5183290,5493,5.07,0.9629,nan,nan,nan,nan,0
